2017-03-23 16:42:13.243 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.fcore.boot.sysTest.SysUserTest], using SpringBootContextLoader
2017-03-23 16:42:13.275 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [com.fcore.boot.sysTest.SysUserTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2017-03-23 16:42:13.276 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils -Could not detect default configuration classes for test class [com.fcore.boot.sysTest.SysUserTest]: SysUserTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2017-03-23 16:42:13.387 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Found @SpringBootConfiguration com.fcore.boot.Application for test class com.fcore.boot.sysTest.SysUserTest
2017-03-23 16:42:13.392 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2017-03-23 16:42:13.405 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4afcd809, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@175c2241, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@5bf0d49, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5b7a5baa, org.springframework.test.context.transaction.TransactionalTestExecutionListener@776aec5c, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@1d296da, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@7c7a06ec, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@75d4a5c2, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@557caf28, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@408d971b, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@6c6cb480, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@3c46e67a]
2017-03-23 16:42:13.409 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.fcore.boot.sysTest.SysUserTest], using SpringBootContextLoader
2017-03-23 16:42:13.410 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [com.fcore.boot.sysTest.SysUserTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2017-03-23 16:42:13.410 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils -Could not detect default configuration classes for test class [com.fcore.boot.sysTest.SysUserTest]: SysUserTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2017-03-23 16:42:13.414 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Found @SpringBootConfiguration com.fcore.boot.Application for test class com.fcore.boot.sysTest.SysUserTest
